timestamp,machine_name,energy_consumption_kwh,temperature_celsius,humidity_percent,production_rate,operating_status,weather_condition,energy_cost_per_kwh,downtime_minutes,load_factor,maintenance_alert
2023-01-02 12:00:00,Conveyor Belt,12.82,13.0,35.9,79,Operational,Snow,0.117,0,0.85,0
2023-01-02 13:00:00,Conveyor Belt,7.35,7.4,85.6,137,Operational,Cloudy,0.134,0,0.56,0
2023-01-02 14:00:00,Conveyor Belt,7.72,31.6,81.4,90,Operational,Snow,0.166,0,0.91,0
2023-01-02 15:00:00,Conveyor Belt,10.94,15.0,57.1,178,Idle,Clear,0.109,27,0.0,1
2023-01-02 16:00:00,Conveyor Belt,15.97,30.4,83.0,126,Idle,Rain,0.134,4,0.0,0
2023-01-02 17:00:00,Conveyor Belt,22.48,5.7,70.8,145,Idle,Clear,0.189,19,0.0,0
2023-01-02 18:00:00,Conveyor Belt,6.2,25.1,64.9,132,Operational,Clear,0.116,0,0.95,0
2023-01-02 19:00:00,Conveyor Belt,6.8,17.3,20.6,142,Idle,Snow,0.166,7,0.0,0
2023-01-02 20:00:00,Conveyor Belt,10.48,-9.8,31.3,64,Operational,Clear,0.169,0,0.83,0
2023-01-02 21:00:00,Conveyor Belt,6.67,0.1,69.9,71,Idle,Clear,0.133,24,0.0,1
2023-01-02 22:00:00,Conveyor Belt,25.15,23.6,65.5,186,Idle,Rain,0.166,21,0.0,1
2023-01-02 23:00:00,Conveyor Belt,13.39,15.6,26.6,171,Maintenance,Rain,0.127,0,0.0,0
2023-01-03 00:00:00,Conveyor Belt,11.16,1.0,88.1,117,Operational,Cloudy,0.189,0,0.82,0
2023-01-03 01:00:00,Conveyor Belt,13.5,25.8,55.2,104,Maintenance,Rain,0.149,0,0.0,0
2023-01-03 02:00:00,Conveyor Belt,9.72,-1.2,70.6,129,Operational,Snow,0.102,0,0.82,0
2023-01-03 03:00:00,Conveyor Belt,25.23,-2.0,85.8,162,Idle,Cloudy,0.191,3,0.0,0
2023-01-03 04:00:00,Conveyor Belt,20.08,6.7,21.1,113,Operational,Snow,0.143,0,0.98,0
2023-01-03 05:00:00,Conveyor Belt,6.75,33.4,79.7,55,Operational,Rain,0.139,0,0.93,0
2023-01-03 06:00:00,Conveyor Belt,19.36,4.3,31.9,200,Operational,Clear,0.194,0,0.85,0
2023-01-03 07:00:00,Conveyor Belt,11.42,15.7,26.8,65,Operational,Clear,0.199,0,0.57,0
2023-01-03 08:00:00,Conveyor Belt,18.55,13.3,81.4,134,Operational,Rain,0.17,0,0.85,0
2023-01-03 09:00:00,Conveyor Belt,18.73,6.2,40.6,121,Operational,Rain,0.181,0,0.93,0
2023-01-03 10:00:00,Conveyor Belt,17.31,31.1,55.8,188,Operational,Cloudy,0.18,0,0.82,0
2023-01-03 11:00:00,Conveyor Belt,19.33,21.6,75.7,112,Idle,Cloudy,0.134,6,0.0,0
2023-01-03 12:00:00,Conveyor Belt,11.53,6.9,26.6,74,Operational,Cloudy,0.104,0,0.73,0
2023-01-03 13:00:00,Conveyor Belt,16.14,14.4,40.1,140,Operational,Cloudy,0.103,0,0.52,0
2023-01-03 14:00:00,Conveyor Belt,4.92,27.0,45.2,63,Operational,Clear,0.152,0,0.88,0
2023-01-03 15:00:00,Conveyor Belt,4.43,-0.3,63.6,65,Operational,Snow,0.105,0,0.77,0
2023-01-03 16:00:00,Conveyor Belt,13.82,14.3,64.6,77,Operational,Rain,0.198,0,0.76,0
2023-01-03 17:00:00,Conveyor Belt,11.96,4.5,75.7,187,Operational,Cloudy,0.144,0,0.54,0
2023-01-03 18:00:00,Conveyor Belt,17.03,-8.9,87.4,96,Operational,Rain,0.17,0,0.7,0
2023-01-03 19:00:00,Conveyor Belt,6.76,-2.2,31.0,69,Operational,Clear,0.155,0,0.86,0
2023-01-03 20:00:00,Conveyor Belt,15.62,19.7,39.6,62,Operational,Clear,0.174,0,0.78,0
2023-01-03 21:00:00,Conveyor Belt,6.89,17.5,49.4,73,Maintenance,Rain,0.136,0,0.0,0
2023-01-03 22:00:00,Conveyor Belt,5.62,24.1,21.0,92,Operational,Cloudy,0.105,0,0.52,0
2023-01-03 23:00:00,Conveyor Belt,11.82,28.5,69.3,104,Idle,Clear,0.11,5,0.0,0
2023-01-04 00:00:00,Conveyor Belt,8.36,12.1,53.1,147,Operational,Cloudy,0.143,0,0.7,0
2023-01-04 01:00:00,Conveyor Belt,5.13,17.7,64.5,117,Maintenance,Cloudy,0.137,0,0.0,0
2023-01-04 02:00:00,Conveyor Belt,19.74,18.2,55.2,123,Operational,Cloudy,0.166,0,0.58,0
2023-01-04 03:00:00,Conveyor Belt,4.18,-6.8,65.0,89,Operational,Rain,0.159,0,0.97,0
2023-01-04 04:00:00,Conveyor Belt,11.72,15.9,47.2,64,Operational,Clear,0.146,0,0.77,0
2023-01-04 05:00:00,Conveyor Belt,22.29,32.4,47.0,130,Operational,Cloudy,0.191,0,0.6,0
2023-01-04 06:00:00,Conveyor Belt,5.97,-6.9,27.1,178,Maintenance,Rain,0.109,0,0.0,0
2023-01-04 07:00:00,Conveyor Belt,7.46,20.7,25.0,64,Maintenance,Clear,0.184,0,0.0,0
2023-01-04 08:00:00,Conveyor Belt,8.38,-9.0,77.0,97,Operational,Clear,0.112,0,0.85,0
2023-01-04 09:00:00,Conveyor Belt,16.55,18.3,81.4,110,Operational,Rain,0.18,0,0.64,0
2023-01-04 10:00:00,Conveyor Belt,25.19,-2.0,72.5,198,Operational,Clear,0.199,0,0.71,0
2023-01-04 11:00:00,Conveyor Belt,12.15,6.7,74.3,157,Operational,Snow,0.193,0,0.93,0
2023-01-04 12:00:00,Conveyor Belt,17.36,9.3,72.6,116,Operational,Snow,0.11,0,0.95,0
2023-01-04 13:00:00,Conveyor Belt,9.62,12.7,77.9,111,Operational,Rain,0.19,0,0.69,0
2023-01-04 14:00:00,Conveyor Belt,6.17,-9.5,83.4,126,Operational,Clear,0.132,0,0.98,0
2023-01-04 15:00:00,Conveyor Belt,10.72,32.8,60.1,52,Operational,Clear,0.145,0,0.65,0
2023-01-04 16:00:00,Conveyor Belt,13.47,4.8,67.1,68,Operational,Snow,0.179,0,0.89,0
2023-01-04 17:00:00,Conveyor Belt,4.5,-5.9,54.6,83,Maintenance,Clear,0.155,0,0.0,0
2023-01-04 18:00:00,Conveyor Belt,10.19,9.9,82.1,112,Operational,Rain,0.112,0,0.57,0
2023-01-04 19:00:00,Conveyor Belt,7.36,24.3,63.3,162,Idle,Snow,0.108,19,0.0,0
2023-01-04 20:00:00,Conveyor Belt,24.44,21.5,25.1,185,Operational,Snow,0.171,0,0.54,0
2023-01-04 21:00:00,Conveyor Belt,8.79,-6.2,89.1,76,Maintenance,Rain,0.137,0,0.0,0
2023-01-04 22:00:00,Conveyor Belt,21.46,26.6,86.3,117,Operational,Clear,0.175,0,0.69,0
2023-01-04 23:00:00,Conveyor Belt,18.82,-6.2,74.4,191,Operational,Snow,0.142,0,0.95,0
2023-01-05 00:00:00,Conveyor Belt,4.24,-5.0,54.5,103,Idle,Rain,0.147,21,0.0,1
2023-01-05 01:00:00,Conveyor Belt,6.38,-7.5,28.3,117,Operational,Snow,0.165,0,0.87,0
2023-01-05 02:00:00,Conveyor Belt,8.15,16.3,87.4,63,Operational,Cloudy,0.129,0,0.93,0
2023-01-05 03:00:00,Conveyor Belt,4.61,0.1,87.4,120,Operational,Snow,0.197,0,0.52,0
2023-01-05 04:00:00,Conveyor Belt,18.2,30.1,56.9,83,Operational,Snow,0.107,0,0.78,0
2023-01-05 05:00:00,Conveyor Belt,13.44,33.6,56.6,91,Idle,Cloudy,0.17,17,0.0,0
2023-01-05 06:00:00,Conveyor Belt,10.15,10.5,63.9,52,Operational,Rain,0.19,0,0.52,0
2023-01-05 07:00:00,Conveyor Belt,26.36,2.6,86.5,189,Operational,Snow,0.146,0,0.81,0
2023-01-05 08:00:00,Conveyor Belt,17.07,2.5,33.2,199,Operational,Cloudy,0.135,0,0.79,0
2023-01-05 09:00:00,Conveyor Belt,18.0,-6.5,88.2,82,Operational,Snow,0.17,0,0.77,0
2023-01-05 10:00:00,Conveyor Belt,11.96,3.9,77.0,60,Idle,Rain,0.116,21,0.0,1
2023-01-05 11:00:00,Conveyor Belt,20.44,31.0,77.6,113,Operational,Snow,0.173,0,0.81,0
2023-01-05 12:00:00,Conveyor Belt,26.16,8.8,85.3,193,Idle,Cloudy,0.105,19,0.0,0
2023-01-05 13:00:00,Conveyor Belt,16.04,-8.8,46.4,89,Maintenance,Rain,0.199,0,0.0,0
2023-01-05 14:00:00,Conveyor Belt,9.64,-3.2,61.6,91,Maintenance,Rain,0.197,0,0.0,0
2023-01-05 15:00:00,Conveyor Belt,14.66,27.9,78.7,155,Operational,Snow,0.141,0,0.64,0
2023-01-05 16:00:00,Conveyor Belt,21.68,-7.5,80.5,155,Idle,Rain,0.2,8,0.0,0
2023-01-05 17:00:00,Conveyor Belt,15.49,34.8,58.9,90,Idle,Clear,0.194,12,0.0,0
2023-01-05 18:00:00,Conveyor Belt,8.91,28.2,37.3,59,Idle,Rain,0.113,6,0.0,0
2023-01-05 19:00:00,Conveyor Belt,10.22,32.9,62.4,167,Operational,Rain,0.167,0,0.81,0
2023-01-05 20:00:00,Conveyor Belt,15.26,6.1,27.9,107,Operational,Rain,0.152,0,0.89,0
2023-01-05 21:00:00,Conveyor Belt,16.17,13.4,79.7,152,Operational,Clear,0.156,0,0.94,0
2023-01-05 22:00:00,Conveyor Belt,4.93,8.2,29.4,121,Operational,Cloudy,0.176,0,0.81,0
2023-01-05 23:00:00,Conveyor Belt,8.87,21.7,34.9,187,Operational,Clear,0.101,0,0.68,0
2023-01-06 00:00:00,Conveyor Belt,9.84,16.5,47.5,79,Idle,Snow,0.19,5,0.0,0
2023-01-06 01:00:00,Conveyor Belt,24.64,5.7,56.0,198,Maintenance,Snow,0.14,0,0.0,0
2023-01-06 02:00:00,Conveyor Belt,15.26,18.0,80.4,59,Operational,Cloudy,0.115,0,0.96,0
2023-01-06 03:00:00,Conveyor Belt,13.5,12.1,38.1,138,Idle,Snow,0.198,13,0.0,0
2023-01-06 04:00:00,Conveyor Belt,19.79,12.2,43.0,180,Operational,Rain,0.124,0,0.54,0
2023-01-06 05:00:00,Conveyor Belt,6.91,-4.2,29.0,115,Operational,Cloudy,0.114,0,0.82,0
2023-01-06 06:00:00,Conveyor Belt,13.76,-1.8,44.2,50,Operational,Rain,0.147,0,0.83,0
2023-01-06 07:00:00,Conveyor Belt,5.65,-2.2,33.5,143,Operational,Snow,0.117,0,0.64,0
2023-01-06 08:00:00,Conveyor Belt,6.82,-2.0,26.2,130,Operational,Clear,0.146,0,0.6,0
2023-01-06 09:00:00,Conveyor Belt,17.0,6.4,55.2,126,Operational,Cloudy,0.104,0,0.9,0
2023-01-06 10:00:00,Conveyor Belt,20.94,18.3,25.7,133,Operational,Snow,0.192,0,0.53,0
2023-01-06 11:00:00,Conveyor Belt,23.24,2.5,76.4,191,Operational,Cloudy,0.118,0,0.6,0
2023-01-06 12:00:00,Conveyor Belt,17.16,6.7,53.9,147,Operational,Rain,0.137,0,0.73,0
2023-01-06 13:00:00,Conveyor Belt,11.86,23.6,22.6,195,Operational,Clear,0.171,0,0.95,0
2023-01-06 14:00:00,Conveyor Belt,6.49,13.0,57.2,127,Operational,Cloudy,0.145,0,0.77,0
2023-01-06 15:00:00,Conveyor Belt,14.95,0.9,38.8,198,Operational,Snow,0.102,0,0.66,0
2023-01-06 16:00:00,Conveyor Belt,7.96,-0.5,42.9,169,Operational,Rain,0.189,0,0.8,0
2023-01-06 17:00:00,Conveyor Belt,16.77,20.6,75.2,180,Operational,Rain,0.109,0,0.77,0
2023-01-06 18:00:00,Conveyor Belt,9.33,16.4,72.2,71,Operational,Snow,0.113,0,0.64,0
2023-01-06 19:00:00,Conveyor Belt,11.36,6.3,65.2,73,Idle,Rain,0.136,21,0.0,1
2023-01-06 20:00:00,Conveyor Belt,8.93,34.4,62.4,129,Operational,Rain,0.11,0,0.58,0
2023-01-06 21:00:00,Conveyor Belt,6.53,1.1,31.2,87,Operational,Rain,0.129,0,0.59,0
2023-01-06 22:00:00,Conveyor Belt,16.79,30.4,25.6,171,Operational,Clear,0.141,0,0.99,0
2023-01-06 23:00:00,Conveyor Belt,25.95,-5.0,47.8,166,Operational,Rain,0.187,0,0.91,0
2023-01-07 00:00:00,Conveyor Belt,18.23,1.6,32.0,148,Operational,Rain,0.193,0,0.78,0
2023-01-07 01:00:00,Conveyor Belt,15.25,15.7,39.6,87,Operational,Clear,0.119,0,0.66,0
2023-01-07 02:00:00,Conveyor Belt,6.97,9.1,55.5,77,Idle,Rain,0.111,5,0.0,0
2023-01-07 03:00:00,Conveyor Belt,18.75,17.5,40.2,182,Operational,Rain,0.115,0,0.74,0
2023-01-07 04:00:00,Conveyor Belt,8.49,14.0,23.6,81,Operational,Cloudy,0.113,0,0.53,0
2023-01-07 05:00:00,Conveyor Belt,24.17,34.5,42.6,185,Maintenance,Snow,0.125,0,0.0,0
2023-01-07 06:00:00,Conveyor Belt,17.79,20.7,73.2,163,Operational,Cloudy,0.147,0,0.71,0
2023-01-07 07:00:00,Conveyor Belt,25.07,5.7,85.1,190,Operational,Rain,0.197,0,0.56,0
2023-01-07 08:00:00,Conveyor Belt,9.35,22.9,85.7,171,Operational,Rain,0.107,0,0.87,0
2023-01-07 09:00:00,Conveyor Belt,6.86,15.9,78.9,120,Idle,Cloudy,0.18,20,0.0,0
2023-01-07 10:00:00,Conveyor Belt,6.99,-0.9,31.5,111,Operational,Clear,0.181,0,0.83,0
2023-01-07 11:00:00,Conveyor Belt,20.11,13.5,45.1,123,Operational,Snow,0.139,0,0.91,0
2023-01-07 12:00:00,Conveyor Belt,13.17,9.8,46.4,131,Idle,Clear,0.13,4,0.0,0
2023-01-07 13:00:00,Conveyor Belt,7.25,23.6,55.2,88,Operational,Rain,0.19,0,0.69,0
2023-01-07 14:00:00,Conveyor Belt,14.27,14.5,83.5,104,Operational,Cloudy,0.112,0,0.97,0
2023-01-07 15:00:00,Conveyor Belt,7.29,18.2,43.4,134,Operational,Cloudy,0.179,0,0.81,0
2023-01-07 16:00:00,Conveyor Belt,13.71,14.0,82.6,65,Operational,Cloudy,0.115,0,0.66,0
2023-01-07 17:00:00,Conveyor Belt,5.65,1.2,72.1,149,Maintenance,Clear,0.157,0,0.0,0
2023-01-07 18:00:00,Conveyor Belt,14.07,24.3,81.4,197,Operational,Clear,0.182,0,0.56,0
2023-01-07 19:00:00,Conveyor Belt,12.43,28.1,28.9,140,Operational,Cloudy,0.18,0,0.57,0
2023-01-07 20:00:00,Conveyor Belt,19.94,0.3,70.6,157,Operational,Rain,0.164,0,0.85,0
2023-01-07 21:00:00,Conveyor Belt,13.06,14.4,37.6,174,Operational,Cloudy,0.118,0,0.95,0
2023-01-07 22:00:00,Conveyor Belt,15.61,16.3,48.1,174,Operational,Snow,0.195,0,0.58,0
2023-01-07 23:00:00,Conveyor Belt,17.44,16.4,55.4,153,Idle,Cloudy,0.102,29,0.0,1
2023-01-08 00:00:00,Conveyor Belt,11.87,29.2,85.2,82,Maintenance,Clear,0.17,0,0.0,0
2023-01-08 01:00:00,Conveyor Belt,8.05,31.5,69.5,150,Operational,Clear,0.158,0,0.8,0
2023-01-08 02:00:00,Conveyor Belt,16.2,9.1,71.6,71,Operational,Rain,0.193,0,0.73,0
2023-01-08 03:00:00,Conveyor Belt,23.35,-4.9,88.9,168,Operational,Snow,0.112,0,0.96,0
2023-01-08 04:00:00,Conveyor Belt,16.62,29.1,56.3,147,Operational,Cloudy,0.14,0,0.53,0
2023-01-08 05:00:00,Conveyor Belt,4.75,5.1,76.2,133,Operational,Cloudy,0.133,0,0.7,0
2023-01-08 06:00:00,Conveyor Belt,10.54,14.2,84.4,121,Idle,Cloudy,0.135,8,0.0,0
2023-01-08 07:00:00,Conveyor Belt,6.45,23.2,51.7,70,Operational,Clear,0.145,0,0.57,0
2023-01-08 08:00:00,Conveyor Belt,12.79,-2.1,54.9,139,Operational,Clear,0.191,0,0.68,0
2023-01-08 09:00:00,Conveyor Belt,3.37,16.1,64.3,60,Idle,Rain,0.166,6,0.0,0
2023-01-08 10:00:00,Conveyor Belt,4.94,-2.0,87.3,55,Operational,Rain,0.141,0,0.54,0
2023-01-08 11:00:00,Conveyor Belt,12.31,34.9,55.2,82,Operational,Clear,0.107,0,0.87,0
2023-01-08 12:00:00,Conveyor Belt,10.7,-0.6,82.9,194,Maintenance,Cloudy,0.119,0,0.0,0
2023-01-08 13:00:00,Conveyor Belt,14.02,-8.4,53.0,115,Idle,Rain,0.107,19,0.0,0
2023-01-08 14:00:00,Conveyor Belt,11.09,24.9,51.7,79,Idle,Rain,0.144,30,0.0,1
2023-01-08 15:00:00,Conveyor Belt,7.42,8.0,59.2,129,Operational,Clear,0.118,0,0.93,0
2023-01-08 16:00:00,Conveyor Belt,9.54,32.6,46.1,129,Operational,Cloudy,0.164,0,0.7,0
2023-01-08 17:00:00,Conveyor Belt,19.4,-8.9,30.9,151,Maintenance,Rain,0.166,0,0.0,0
2023-01-08 18:00:00,Conveyor Belt,6.5,-8.8,35.5,69,Operational,Rain,0.167,0,0.51,0
2023-01-08 19:00:00,Conveyor Belt,6.03,-5.3,76.0,76,Operational,Snow,0.165,0,0.62,0
2023-01-08 20:00:00,Conveyor Belt,14.0,-5.5,37.0,80,Idle,Clear,0.186,11,0.0,0
2023-01-08 21:00:00,Conveyor Belt,21.01,27.4,47.8,186,Operational,Snow,0.12,0,0.65,0
2023-01-08 22:00:00,Conveyor Belt,4.48,30.3,20.9,67,Operational,Snow,0.121,0,0.51,0
2023-01-08 23:00:00,Conveyor Belt,8.22,-1.8,60.8,53,Idle,Cloudy,0.189,3,0.0,0
2023-01-09 00:00:00,Conveyor Belt,10.6,26.8,43.9,160,Maintenance,Cloudy,0.138,0,0.0,0
2023-01-09 01:00:00,Conveyor Belt,13.22,16.6,38.8,89,Operational,Snow,0.141,0,0.78,0
2023-01-09 02:00:00,Conveyor Belt,27.52,9.6,40.6,187,Idle,Cloudy,0.176,13,0.0,0
2023-01-09 03:00:00,Conveyor Belt,12.86,-3.7,80.8,118,Operational,Rain,0.189,0,0.9,0
2023-01-09 04:00:00,Conveyor Belt,7.14,9.1,21.6,72,Operational,Cloudy,0.154,0,0.82,0
2023-01-09 05:00:00,Conveyor Belt,18.4,1.6,29.8,112,Idle,Cloudy,0.198,10,0.0,0
2023-01-09 06:00:00,Conveyor Belt,6.56,13.7,32.0,57,Operational,Snow,0.102,0,0.96,0
2023-01-09 07:00:00,Conveyor Belt,8.22,-4.7,60.4,96,Operational,Snow,0.155,0,0.83,0
2023-01-09 08:00:00,Conveyor Belt,4.51,27.3,34.4,116,Operational,Snow,0.114,0,0.95,0
2023-01-09 09:00:00,Conveyor Belt,19.87,29.3,61.8,192,Operational,Rain,0.167,0,0.59,0
2023-01-09 10:00:00,Conveyor Belt,8.66,31.1,49.3,71,Operational,Cloudy,0.152,0,0.52,0
2023-01-09 11:00:00,Conveyor Belt,7.32,-2.5,71.7,175,Operational,Rain,0.16,0,0.62,0
2023-01-09 12:00:00,Conveyor Belt,13.13,7.5,40.2,171,Operational,Cloudy,0.172,0,0.65,0
2023-01-09 13:00:00,Conveyor Belt,19.3,15.5,53.3,164,Idle,Clear,0.194,9,0.0,0
2023-01-09 14:00:00,Conveyor Belt,4.63,23.0,35.0,106,Operational,Rain,0.126,0,0.8,0
2023-01-09 15:00:00,Conveyor Belt,15.45,-7.7,54.7,128,Operational,Snow,0.133,0,0.89,0
2023-01-09 16:00:00,Conveyor Belt,21.21,-5.2,25.3,171,Operational,Snow,0.15,0,0.84,0
2023-01-09 17:00:00,Conveyor Belt,22.07,9.6,37.2,158,Maintenance,Snow,0.18,0,0.0,0
2023-01-09 18:00:00,Conveyor Belt,16.13,21.3,39.1,140,Idle,Snow,0.136,9,0.0,0
2023-01-09 19:00:00,Conveyor Belt,6.62,-5.9,84.2,114,Operational,Rain,0.195,0,0.72,0
2023-01-09 20:00:00,Conveyor Belt,20.66,-1.7,57.9,130,Operational,Rain,0.173,0,0.9,0
2023-01-09 21:00:00,Conveyor Belt,17.5,19.6,68.5,99,Operational,Cloudy,0.125,0,0.74,0
2023-01-09 22:00:00,Conveyor Belt,21.02,-0.0,89.1,120,Idle,Snow,0.104,3,0.0,0
2023-01-09 23:00:00,Conveyor Belt,6.85,21.8,84.8,99,Operational,Snow,0.157,0,0.96,0
2023-01-10 00:00:00,Conveyor Belt,8.54,-8.5,68.8,95,Operational,Rain,0.192,0,0.99,0
2023-01-10 01:00:00,Conveyor Belt,19.57,32.5,53.2,120,Operational,Clear,0.184,0,0.66,0
2023-01-10 02:00:00,Conveyor Belt,19.7,27.3,22.6,191,Operational,Rain,0.123,0,0.56,0
2023-01-10 03:00:00,Conveyor Belt,12.98,-6.5,68.7,175,Operational,Clear,0.172,0,0.53,0
2023-01-10 04:00:00,Conveyor Belt,24.64,4.2,57.8,196,Operational,Cloudy,0.132,0,0.81,0
2023-01-10 05:00:00,Conveyor Belt,10.12,29.9,63.1,162,Operational,Clear,0.102,0,0.94,0
2023-01-10 06:00:00,Conveyor Belt,13.34,-9.0,81.2,114,Maintenance,Cloudy,0.194,0,0.0,0
2023-01-10 07:00:00,Conveyor Belt,8.6,25.9,89.9,79,Idle,Cloudy,0.177,15,0.0,0
2023-01-10 08:00:00,Conveyor Belt,11.79,8.1,53.6,68,Operational,Clear,0.187,0,0.99,0
2023-01-10 09:00:00,Conveyor Belt,10.1,24.6,49.2,88,Operational,Snow,0.174,0,0.62,0
2023-01-10 10:00:00,Conveyor Belt,7.35,-5.0,44.8,71,Maintenance,Clear,0.13,0,0.0,0
2023-01-10 11:00:00,Conveyor Belt,6.26,0.5,22.9,192,Idle,Rain,0.199,24,0.0,1
2023-01-10 12:00:00,Conveyor Belt,21.05,9.2,46.9,183,Operational,Cloudy,0.122,0,0.97,0
2023-01-10 13:00:00,Conveyor Belt,12.07,25.4,26.3,126,Idle,Cloudy,0.188,9,0.0,0
2023-01-10 14:00:00,Conveyor Belt,20.38,32.5,52.7,195,Operational,Clear,0.117,0,1.0,0
2023-01-10 15:00:00,Conveyor Belt,14.61,0.4,86.0,103,Operational,Snow,0.161,0,0.76,0
2023-01-10 16:00:00,Conveyor Belt,6.4,0.4,32.4,70,Operational,Rain,0.119,0,0.89,0
2023-01-10 17:00:00,Conveyor Belt,28.38,5.8,24.0,191,Operational,Clear,0.188,0,0.96,0
2023-01-10 18:00:00,Conveyor Belt,13.13,34.8,32.2,154,Operational,Cloudy,0.176,0,0.85,0
2023-01-10 19:00:00,Conveyor Belt,8.5,-3.1,77.1,124,Operational,Snow,0.122,0,0.77,0
2023-01-10 20:00:00,Conveyor Belt,6.06,16.7,60.6,122,Idle,Cloudy,0.188,2,0.0,0
2023-01-10 21:00:00,Conveyor Belt,19.04,2.0,29.1,109,Maintenance,Rain,0.196,0,0.0,0
2023-01-10 22:00:00,Conveyor Belt,18.68,28.8,76.7,158,Operational,Rain,0.155,0,0.54,0
2023-01-10 23:00:00,Conveyor Belt,7.67,8.4,46.1,88,Maintenance,Rain,0.172,0,0.0,0
2023-01-11 00:00:00,Conveyor Belt,6.32,12.3,25.7,68,Operational,Snow,0.168,0,0.54,0
2023-01-11 01:00:00,Conveyor Belt,17.24,28.3,54.7,195,Maintenance,Cloudy,0.159,0,0.0,0
